Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
parad_k__stc_imodem_instrument,D00001,2013-11-24T01:30:03Z,2013-12-10T00:00:00Z,,PENDING_INGEST,11959,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00001,2013-12-10T00:00:00Z,2014-04-11T22:37:56Z,Surface mooring went adrift,NOT_AVAILABLE,9445,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00002,2014-04-12T18:02:04Z,2014-07-21T06:04:54Z,,AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00002,2014-07-21T06:04:54Z,2014-10-09T00:00:00Z,MMP failed- the list of files got too long for the inductuve moden run out of time to search and send out the last data file.,NOT_AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00003,2014-10-09T22:02:03Z,2014-10-20T10:34:27Z,,AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00003,2014-10-20T10:34:27Z,2014-12-14T00:00:00Z,Surface buoy broke free,NOT_AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00005,2015-05-03T15:02:04Z,2015-10-16T10:34:29Z,,AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00006,2015-10-16T22:02:04Z,2016-04-03T13:33:23Z,,AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00006,2016-04-03T13:33:23Z,2016-05-21T12:00:00Z,Surface buoy broke free,NOT_AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00007,2016-05-22T00:02:03Z,2016-10-04T13:35:22Z,,AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00008,2016-10-04T18:02:04Z,2017-01-19T13:33:49Z,,AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00008,2017-01-19T13:33:49Z,2017-01-24T22:32:19Z,The data are in the raw data repo need to purge and reingest to investigate the missing data,PENDING_INGEST,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00008,2017-01-24T22:32:19Z,2017-02-13T18:06:09Z,,AVAILABLE,,,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00008,2017-02-13T18:06:09Z,2017-02-19T00:00:00Z,Surface buoy went adrift ,NOT_AVAILABLE,,,Leila,2017-05-17T00:00:00Z
