Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
GS01SUMO,,,,,,,,lori,2017-05-08T00:00:00Z
GS01SUMO-SBD11,D00002,2015-12-14T20:20:00Z,2016-12-12T00:00:00Z,"Upon recovery, damage to some components of the surface buoy were noted (e.g., FDCHP was bent, the tops of the METBK-PRC and FleetBroadBand antenna were missing)",,,,lori,2017-09-01T00:00:00Z
GS01SUMO-SBD12,D00002,2015-12-14T20:20:00Z,2016-12-12T00:00:00Z,"Upon recovery, damage to some components of the surface buoy were noted (e.g., FDCHP was bent, the tops of the METBK-PRC and FleetBroadBand antenna were missing)",,,,lori,2017-09-01T00:00:00Z
GS01SUMO-RID16,,,,,,,,lori,2017-08-14T00:00:00Z
GS01SUMO-RII11,,,,,,,,lori,2017-08-15T00:00:00Z
GS01SUMO-RID16-05-PCO2WB000,D00003,2017-04-30T00:00:00Z,2017-05-08T00:00:00Z,"Files that were telemetered during this deployment did not contain valid data with correct timestamps. Unit could have been configured to the incorrect time at deployment. In addition, the instrument stopped sending telemetered data files on 2017-04-30. Issue under investigation.",,"12210, 12312",update as deployment progresses,lori,2017-05-08T00:00:00Z
GS01SUMO-SBD11-06-METBKA000,D00002,2016-01-01T00:00:00Z,2016-11-13T00:34:29Z,Downwelling Shortwave Irradiance (shortwave_irradiance) and Net Shortwave Irradiance (met_netsirr) minimum night time values jump from ~0 W m-2 to ~13-14 W m-2 and remain there through the rest of the deployment. The SWR sensor did not appear to have any noticeable damage upon recovery. The instrument calibration lab is investigating.,,12543,Follow-up with MIO - calibration lab,lori,2017-08-03T00:00:00Z
GS01SUMO-RII11-02-PCO2WC051,D00003,2017-06-15T00:00:00Z,2017-08-04T00:00:00Z,Instrument sending files via satellite transmission intermittently.,,11984,update as deployment progresses,lori,2017-08-04T00:00:00Z
GS01SUMO-SBD12-08-FDCHPA000,D00003,2017-06-11T00:00:00Z,2017-08-04T00:00:00Z,Instrument stopped sending files via satellite transmission.,,11984,update as deployment progresses,lori,2017-08-04T00:00:00Z
GS01SUMO-RID16-03-CTDBPF000,D00003,2017-08-19T00:00:00Z,2017-08-28T00:00:00Z,Instrument stopped sending files via satellite transmission.,,11857,update as deployment progresses,lori,2017-08-28T00:00:00Z
GS01SUMO-RII11-02-CTDBPP031,D00002,2015-12-14T20:20:00Z,2016-12-12T00:00:00Z,Instrument did not record valid data for the entire deployment.,NOT_OPERATIONAL,11172,,lori,2017-08-15T00:00:00Z
GS01SUMO-RII11-02-CTDBPP032,D00002,2016-02-16T20:00:03Z,2016-12-12T00:00:00Z,Instrument failed.,NOT_OPERATIONAL,11172,,lori,2017-08-15T00:00:00Z
GS01SUMO-RII11-02-CTDBPP033,D00002,2016-05-06T12:00:03Z,2016-12-12T00:00:00Z,Instrument failed.,NOT_OPERATIONAL,11172,,lori,2017-08-15T00:00:00Z
GS01SUMO-RII11-02-CTDMOQ011,D00002,2016-06-18T14:00:01Z,2016-07-12T15:45:01Z,Instrument temporarily failed to record data.,NOT_OPERATIONAL,,,lori,2017-08-16T00:00:00Z
GS01SUMO-RII11-02-CTDMOQ012,,,,,,,,lori,2017-08-16T00:00:00Z
GS01SUMO-RII11-02-CTDMOQ013,,,,,,,,lori,2017-08-16T00:00:00Z
GS01SUMO-RID16-02-FLORTD000,D00003,2017-08-19T00:00:00Z,2017-08-28T00:00:00Z,Instrument stopped sending files via satellite transmission.,,11857,update as deployment progresses,lori,2017-08-28T00:00:00Z
GS01SUMO-RID16-06-DOSTAD000,D00003,2017-08-19T00:00:00Z,2017-08-28T00:00:00Z,Instrument stopped sending files via satellite transmission.,,11857,update as deployment progresses,lori,2017-08-28T00:00:00Z
GS01SUMO-RID16-07-NUTNRB000,D00003,2017-08-19T00:00:00Z,2017-08-28T00:00:00Z,Instrument stopped sending files via satellite transmission.,,11857,update as deployment progresses,lori,2017-08-28T00:00:00Z
