Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdpf_ckl_wfp_instrument_recovered,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,Only few MMP records avialable. The WFP failed after few days and had to be recovered.,AVAILABLE,11504,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00002,2013-11-25T20:58:00Z,2014-04-14T20:00:03Z,The MMP was broken on recovery and the card data were lost. ,NOT_AVAILABLE,11504,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00003,2014-04-14T20:00:03Z,2014-10-04T21:46:45Z,,AVAILABLE,,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00004,2014-10-05T22:00:03Z,2015-02-03T12:34:05Z,,AVAILABLE,,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00004,2015-02-03T12:34:05Z,2015-02-09T21:00:02Z,Surface buoy  mal functionning.,NOT_AVAILABLE,,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00004,2015-02-09T21:00:02Z,2015-02-10T03:14:07Z,,AVAILABLE,,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00004,2015-02-10T03:14:07Z,2015-02-12T06:00:02Z,Surface buoy  mal functionning.,NOT_AVAILABLE,,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00004,2015-02-12T06:00:02Z,2015-02-12T21:12:38Z,,AVAILABLE,,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00004,2015-02-12T21:12:38Z,2015-04-30T00:00:00Z,The surface buoy departed and had to be recovered.,NOT_AVAILABLE,,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00005,2015-04-30T19:00:03Z,2015-10-13T12:13:23Z,,AVAILABLE,,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00006,2015-10-13T22:00:03Z,2016-05-18T12:20:00Z,Data non-recoverable. WFP failed.,NOT_AVAILABLE,10303,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00007,2016-05-19T00:00:03Z,2016-10-01T09:05:46Z,,PENDING_INGEST,11960,,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00008,2016-10-02T00:26:00Z,2017-05-09T00:00:00Z,Instrument not recovered from the water.,NOT_AVAILABLE,,,,
