Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
adcps_jln_stc_instrument,D00001,2013-11-23T00:00:00Z,2014-04-12T00:00:00Z,,PENDING_INGEST,11959,,Leila,2017-05-17T00:00:00Z
adcps_jln_stc_instrument,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,,NOT_EVALUATED,,check: evaluate parameters,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00003,2014-10-09T18:26:00Z,2014-10-21T03:15:00Z,,NOT_AVAILABLE,,check: difference between data begin and deployment begin date is: 11 days 08:49:00,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,,NOT_EVALUATED,,check: evaluate parameters,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,,NOT_EVALUATED,,check: evaluate parameters,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00006,2015-10-16T19:30:00Z,2016-04-03T14:00:00Z,,NOT_EVALUATED,,check: evaluate parameters,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00006,2016-04-03T14:00:00Z,2016-05-21T12:00:00Z,Surface buoy broke free,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 47 days 22:00:00,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00007,2016-05-21T17:00:00Z,2016-10-04T13:30:00Z,,NOT_EVALUATED,,check: evaluate parameters,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00008,2016-10-04T14:30:00Z,2017-01-19T10:30:00Z,,NOT_EVALUATED,,check: evaluate parameters,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00008,2017-01-19T10:30:00Z,2017-01-24T20:00:00Z,,NOT_AVAILABLE,,check: data gap: 5 days 09:30:00,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00008,2017-01-24T20:00:00Z,2017-02-13T16:30:00Z,,NOT_EVALUATED,,check: evaluate parameters,Leila,2017-06-08T00:00:00Z
adcps_jln_stc_instrument,D00008,2017-02-13T16:30:00Z,2017-02-19T00:00:00Z,Surface buoy broke free,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 5 days 07:30:00,Leila,2017-06-08T00:00:00Z
