Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
corrected_dissolved_oxygen,D00002,2016-03-17T03:52:05,2016-04-10T20:46:12,abruptly low L0 conductivity measurements leading to suspect salinity values make this parameter suspect.,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00002,2016-03-17T03:52:05,2016-04-10T20:46:12,abruptly low L0 conductivity measurements make this parameter suspect.,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,D00002,2016-03-17T03:52:05,2016-04-10T20:46:12,suspect low conductivity measurements,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-03-17T03:52:05,2016-04-10T20:46:12,abruptly low L0 conductivity measurements make this parameter suspect.,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
density,D00002,2016-03-17T03:52:05,2016-04-10T20:46:12,abruptly low L0 conductivity measurements make this parameter suspect.,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,D00002,2016-06-05T16:46:02,2016-06-20T18:53:51,suspect low conductivity measurements,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00002,2016-06-05T16:46:02,2016-06-20T18:53:51,abruptly low L0 conductivity measurements make this parameter suspect.,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00002,2016-06-05T16:46:02,2016-06-20T18:53:51,abruptly low L0 conductivity measurements make this parameter suspect.,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-06-05T16:46:02,2016-06-20T18:53:51,abruptly low L0 conductivity measurements make this parameter suspect.,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
density,D00002,2016-06-05T16:46:02,2016-06-20T18:53:51,abruptly low L0 conductivity measurements make this parameter suspect.,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
pressure,,,,,,,,friedrich,2017-04-17T00:00:00Z
seawater_pressure,,,,,,,,friedrich,2017-04-17T00:00:00Z
temperature,,,,,,,,friedrich,2017-04-17T00:00:00Z
seawater_temperature,,,,,,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00001,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00001,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
conductivity,D00001,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00001,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
density,D00001,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00002,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00002,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
conductivity,D00002,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
density,D00002,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00003,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00003,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
conductivity,D00003,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00003,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
density,D00003,,,few isolated spikes in data record originating from conductivity values.,,,,friedrich,2017-04-17T00:00:00Z
